id;gouvernorat;ville;localite;code_postal;modifie_le;modifie_par;id_ville
1;Sausages District;modular Personal Loan Account niches;Underpass Lilangeni;85111;2020-05-26;Indiana;60413
2;Fish National;Incredible Fresh Shirt EXE program;fresh-thinking scalable digital;977;2020-05-26;Ergonomic Cotton Sausages Practical;11081
3;silver Arkansas;functionalities;Chicken;61939;2020-05-26;RSS ivory;56459
4;modular Orchestrator;parsing;hardware Investment Account parsing;25467;2020-05-25;scalable concept Gloves;51927
5;Cross-group Configuration;Swiss Franc Supervisor;payment;94209;2020-05-26;Paradigm;6326
6;schemas;Intuitive;web-readiness;65744;2020-05-25;National technologies;10980
7;Shirt Bike;compressing Executive;RAM capability compressing;89683;2020-05-26;Hawaii copying;60309
8;hack markets;Concrete;object-oriented interfaces;82578;2020-05-26;Savings Account;52228
9;portals Buckinghamshire Keyboard;Investor;Web;40862;2020-05-26;Associate hack;91409
10;Credit Card Account enhance India;Health incubate Latvian Lats;virtual invoice Identity;88852;2020-05-25;Games client-driven Sausages;58982
