id;quantite;prix_ht;remise;tva;prix_ttc;cree_le;cree_par;modifie_le;modifie_par
1;33875;31762;38098;71214;96790;2020-05-26;GB white;2020-05-26;Auto Loan Account Towels
2;42436;90338;61375;75669;36521;2020-05-26;Key Orchestrator;2020-05-25;Administrator Soft
3;75555;10442;87920;38707;9767;2020-05-26;white Georgia Facilitator;2020-05-26;24/365 Salad
4;6152;13596;29418;9;88652;2020-05-25;Kids;2020-05-26;Borders monitor
5;18482;71559;57243;97396;72007;2020-05-26;Ball utilize;2020-05-25;Fantastic Data
6;76774;33362;44205;53694;8426;2020-05-26;repurpose overriding;2020-05-25;New Mexico hack Intelligent Fresh Pants
7;52224;78615;50255;63122;33190;2020-05-25;Cotton Quality;2020-05-25;projection Senior silver
8;82743;63162;46574;8277;782;2020-05-26;Investment Account next-generation Yuan Renminbi;2020-05-26;Synergistic THX
9;35537;27562;32150;33359;13489;2020-05-26;Buckinghamshire Yuan Renminbi;2020-05-25;Unbranded Plastic Car Health Bedfordshire
10;36044;17421;15734;57648;90798;2020-05-26;Streamlined alliance;2020-05-26;virtual
