id;nom;points;valeur;silver_min;silver_max;gold_min;gold_max;platinium_min;platinium_max;devise;etat;cree_le;cree_par;modifie_le;modifie_par
1;North Carolina Cayman Islands Dollar;50045;49257;88825;35481;35215;77045;10068;20042;TND;false;2020-05-26;scale Texas bypassing;2020-05-25;International
2;HDD;55423;13594;43465;23848;17556;7381;37480;92247;EUR;true;2020-05-26;convergence RAM;2020-05-26;Bike integrated Auto Loan Account
3;Monitored Cambridgeshire Avon;74886;21858;56331;14701;96844;53955;64429;95472;EUR;false;2020-05-26;French Guiana compressing;2020-05-26;payment silver benchmark
4;online Steel;28812;924;38484;17382;60792;14377;52987;27124;USD;true;2020-05-25;Coordinator JBOD;2020-05-26;Games Directives
5;zero tolerance Applications JSON;98718;11788;54675;24788;29140;40137;5773;23778;TND;true;2020-05-26;Forward;2020-05-26;navigate Designer
6;Unbranded;17883;67768;55774;55247;67766;77341;9569;34936;USD;false;2020-05-25;Metal Chair;2020-05-26;Paradigm
7;Refined Granite Fish infomediaries;51341;60198;91371;15809;43891;27322;66790;68383;EUR;true;2020-05-26;cross-media;2020-05-25;Officer
8;Proactive well-modulated;96584;32284;37218;64330;45003;22778;92911;77524;EUR;true;2020-05-26;programming Home Loan Account;2020-05-26;Decentralized overriding 3rd generation
9;Lebanese Pound HDD Specialist;1230;76129;52808;90708;17020;12214;67292;86868;TND;false;2020-05-25;Botswana contingency Metal;2020-05-26;Credit Card Account
10;scalable Sleek Rubber Pizza withdrawal;17791;89357;82929;40166;56153;2861;86351;63629;TND;false;2020-05-26;Games;2020-05-26;Chips Junctions
