id;categorie_client;interval_valeur;frais;date;cree_le;cree_par;modifie_le;modifie_par;valeur_min;valeur_max;date_livraison
1;Gold;79169;34726;61393;2020-05-26;Rustic Wooden Executive;2020-05-26;Chief Concrete;16097;53300;2020-05-26
2;Platinium;72989;3617;61135;2020-05-25;New Jersey;2020-05-26;contingency fuchsia Money Market Account;35718;59714;2020-05-26
3;Platinium;77002;76380;16308;2020-05-25;markets circuit Martinique;2020-05-25;Moldovan Leu Human AI;81379;4552;2020-05-25
4;Platinium;2852;91749;33974;2020-05-25;Face to face Graphical User Interface invoice;2020-05-25;Sports;49769;28339;2020-05-25
5;Silver;8063;80866;92955;2020-05-26;array;2020-05-25;bandwidth withdrawal Malaysian Ringgit;72467;24465;2020-05-26
6;Platinium;16155;40221;71053;2020-05-25;Savings Account;2020-05-25;Executive;84826;88200;2020-05-26
7;Platinium;4886;73018;45504;2020-05-25;high-level next generation Money Market Account;2020-05-26;withdrawal contextually-based;82720;89339;2020-05-25
8;Platinium;73325;94181;6306;2020-05-25;Court payment Soap;2020-05-25;pixel open-source;82558;61341;2020-05-25
9;Silver;57262;69905;2897;2020-05-25;Dynamic;2020-05-25;Salad;52446;10420;2020-05-26
10;Platinium;45726;51661;33375;2020-05-25;input Practical Concrete Computer;2020-05-25;Keyboard Refined Rubber Bike schemas;6364;7461;2020-05-26
