id;type;date;sens;quantite;cree_le;cree_par;modifie_le;modifie_par;reference
1;Commande;2020-05-25;19567;52276;2020-05-26;virtual;2020-05-26;Agent Mongolia overriding;Specialist withdrawal
2;EntreeStock;2020-05-25;84801;19492;2020-05-26;Central bandwidth invoice;2020-05-26;capacitor;blue high-level Lithuanian Litas
3;SortieStock;2020-05-26;95604;9046;2020-05-25;SCSI Ergonomic Granite Hat Forest;2020-05-25;Adaptive Table;payment
4;Commande;2020-05-26;6807;25494;2020-05-25;synthesize;2020-05-26;Gorgeous Steel Fish Brazilian Real;generating Idaho
5;SortieStock;2020-05-25;91962;40005;2020-05-25;system;2020-05-26;solutions;payment New York
6;EntreeStock;2020-05-26;88613;68543;2020-05-26;Bedfordshire invoice;2020-05-26;solid state;Saint Helena Pound Generic Wooden Towels
7;Commande;2020-05-26;23017;58044;2020-05-25;optimize;2020-05-26;withdrawal;Data
8;EntreeStock;2020-05-26;61947;45059;2020-05-26;Ville;2020-05-25;Granite connecting out-of-the-box;indigo
9;SortieStock;2020-05-26;30328;45154;2020-05-26;Pizza;2020-05-26;Radial Investor non-volatile;firmware calculate invoice
10;Commande;2020-05-25;8988;44454;2020-05-25;Books salmon;2020-05-26;online payment Books;e-commerce
