id;stock_reserve;stock_commande;stock_physique;stock_disponible;stock_minimum;derniere_entre;derniere_sortie;alerte_stock;cree_le;cree_par;modifie_le;modifie_par
1;40873;43417;67982;65899;86482;2020-05-26;2020-05-25;false;2020-05-25;Montana Consultant;2020-05-26;synthesizing
2;52455;75219;16240;62067;69907;2020-05-25;2020-05-26;true;2020-05-25;microchip;2020-05-26;leverage purple
3;43284;90342;90122;35634;78007;2020-05-25;2020-05-25;true;2020-05-25;Moldova Practical;2020-05-25;mesh PCI
4;58869;49111;35272;92700;50446;2020-05-26;2020-05-25;true;2020-05-25;ROI North Dakota;2020-05-26;solutions
5;49729;82136;29891;84591;25109;2020-05-25;2020-05-25;false;2020-05-25;JBOD Program feed;2020-05-26;generating
6;7690;81872;2957;29419;37216;2020-05-25;2020-05-25;false;2020-05-25;Mongolia Architect;2020-05-25;auxiliary fuchsia
7;57463;89506;90791;2860;66163;2020-05-25;2020-05-25;false;2020-05-26;Cambridgeshire architect;2020-05-25;interface bypass SMS
8;77640;88899;66029;89259;5087;2020-05-25;2020-05-25;true;2020-05-25;Re-engineered Auto Loan Account;2020-05-26;Factors
9;13473;21040;22166;29949;14440;2020-05-25;2020-05-25;true;2020-05-26;SDD Car;2020-05-25;Analyst Mauritius Rupee
10;95660;34596;66740;26448;37363;2020-05-25;2020-05-26;false;2020-05-25;Credit Card Account;2020-05-26;Bolivar Fuerte Chair
