id;code_zone;nom;cree_le;cree_par;modifie_le;modifie_par
1;;haptic IB vortals;2020-05-26;orange Djibouti scalable;2020-05-25;data-warehouse
2;;Syrian Pound;2020-05-25;reciprocal scale fuchsia;2020-05-25;Berkshire
3;;Money Market Account Unbranded Soft Bike;2020-05-25;programming withdrawal HTTP;2020-05-26;bandwidth quantifying
4;;embrace Factors Throughway;2020-05-26;bandwidth-monitored Legacy;2020-05-25;bluetooth
5;;Optional bus systemic;2020-05-25;Ramp payment Rue;2020-05-26;Savings Account
6;;Station Automotive programming;2020-05-26;compress Toys;2020-05-26;high-level
7;;West Virginia;2020-05-26;back-end bandwidth payment;2020-05-25;composite Massachusetts
8;;Concrete Forest Cambridgeshire;2020-05-26;Fantastic Plastic Car Ergonomic;2020-05-26;purple proactive
9;;parsing;2020-05-26;Avon;2020-05-25;auxiliary Idaho
10;;Principal visualize Home Loan Account;2020-05-25;Licensed Sausages;2020-05-25;CFA Franc BEAC
